bet_id,player_id,bet_time,game_type,bet_amount,win_amount
1,668,2024-07-17 18:47:03,Slots,853.2,1279.8
2,628,2024-11-11 04:50:07,Sports Betting,477.25,0.0
3,750,2024-09-24 01:19:48,Table Games,170.43,255.65
4,929,2024-08-09 05:45:14,Sports Betting,698.21,1396.42
5,396,2024-10-02 07:10:08,Table Games,581.13,0.0
6,513,2024-09-08 17:39:25,Slots,-873.97,1747.94
7,59,2024-12-08 17:43:50,Slots,384.48,1922.4
8,722,2024-07-17 11:38:30,Table Games,305.82,0.0
9,107,2024-04-13 23:16:06,Slots,323.61,647.22
10,715,2024-10-16 03:58:10,Sports Betting,15.26,0.0
11,573,2024-08-03 04:56:38,Live Casino,544.37,816.56
12,80,2024-09-29 07:22:31,Sports Betting,657.88,0.0
13,349,2024-09-26 04:06:26,Slots,668.61,1337.22
14,190,2025-01-12 17:40:16,Table Games,545.27,0.0
15,978,2024-12-28 10:09:31,Sports Betting,696.03,0.0
16,624,2024-07-05 14:16:49,Live Casino,676.48,1014.72
17,864,2025-03-07 11:53:35,Slots,723.23,0.0
18,489,2025-03-28 05:36:47,Live Casino,872.38,0.0
19,429,2025-02-27 09:54:28,Sports Betting,472.21,944.42
20,522,2025-03-18 21:21:56,Sports Betting,-774.69,1162.04
21,768,2024-05-26 04:42:06,Sports Betting,675.94,675.94
22,835,2024-04-11 15:25:46,Live Casino,586.37,586.37
23,3,2024-08-31 20:10:43,Slots,202.83,0.0
24,686,2025-01-27 20:53:33,Sports Betting,134.34,268.68
25,149,2024-10-12 03:46:48,Slots,576.51,864.76
26,847,2024-12-11 20:41:15,Live Casino,37.11,185.55
27,711,2024-05-10 02:12:43,Table Games,164.07,164.07
28,42,2024-08-11 14:01:16,Live Casino,455.31,455.31
29,268,2024-07-14 13:49:17,Sports Betting,818.23,818.23
30,645,2024-04-30 10:45:57,Slots,663.51,663.51
31,291,2024-06-30 19:58:15,Slots,382.53,765.06
32,756,2024-07-15 14:18:55,Live Casino,730.18,0.0
33,263,2024-11-05 14:04:40,Sports Betting,491.39,0.0
34,569,2024-06-04 10:31:04,Live Casino,64.67,0.0
35,157,2024-11-28 17:39:26,Slots,166.42,832.1
36,677,2024-12-31 09:09:16,Sports Betting,367.66,551.49
37,400,2025-01-24 21:20:58,Slots,80.4,0.0
38,234,2024-09-14 01:08:15,Live Casino,824.88,1649.76
39,508,2025-01-31 04:45:05,Slots,816.77,0.0
40,498,2025-01-02 13:30:17,Live Casino,603.93,0.0
41,980,2024-10-30 04:25:44,Slots,215.42,0.0
42,595,2024-09-23 03:59:06,Slots,705.83,3529.15
43,267,2024-07-31 17:52:49,Sports Betting,660.31,3301.55
44,3,2025-01-12 11:44:45,Live Casino,686.26,1372.52
45,910,2024-10-19 20:10:05,Sports Betting,924.54,4622.7
46,791,2024-12-09 01:22:14,Live Casino,465.27,0.0
47,935,2024-09-27 07:11:07,Sports Betting,689.29,689.29
48,621,2024-10-11 07:16:07,Table Games,850.43,1700.86
49,334,2025-01-10 02:19:51,Sports Betting,327.5,327.5
50,152,2024-09-09 23:06:30,Sports Betting,330.36,1651.8
51,566,2024-04-24 18:42:48,Table Games,630.63,0.0
52,401,2025-03-29 00:03:44,Sports Betting,12.89,64.45
53,927,2024-12-18 09:38:00,Live Casino,864.75,864.75
