session_id,player_id,game_id,session_start,session_end,bet_amount,win_amount
1,959,14,2025-02-22 21:16:40,2025-02-22 21:48:40,3.9,0.0
2,314,11,2024-10-25 02:44:34,2024-10-25 03:46:34,747.22,1494.44
3,532,26,2024-12-26 07:41:06,2024-12-26 08:58:06,145.97,145.97
4,584,17,2024-06-02 13:55:40,2024-06-02 14:18:40,868.2,1302.3
5,612,43,2024-07-23 00:57:18,2024-07-23 02:53:18,412.98,2064.9
6,690,34,2024-10-29 03:06:13,2024-10-29 03:17:13,486.94,0.0
7,404,31,2024-10-19 00:12:48,2024-10-19 01:26:48,535.56,0.0
8,285,42,2025-03-08 02:21:31,2025-03-08 03:18:31,896.13,896.13
9,745,11,2024-05-09 13:30:30,2024-05-09 15:29:30,500.75,0.0
10,924,2,2025-03-20 12:03:38,2025-03-20 13:10:38,393.44,0.0
11,954,38,2025-03-27 07:19:03,2025-03-27 08:45:03,491.19,736.78
12,153,10,2024-06-05 09:58:14,2024-06-05 11:34:14,470.48,705.72
13,779,38,2024-04-24 11:26:57,2024-04-24 12:53:57,894.37,1341.56
14,437,24,2025-03-29 18:53:11,2025-03-29 19:48:11,447.01,670.51
15,390,37,2024-06-24 11:01:44,2024-06-24 13:01:44,961.99,1442.99
16,276,16,2024-05-21 14:56:19,2024-05-21 15:24:19,448.62,0.0
17,267,39,2024-04-30 02:51:59,2024-04-30 04:33:59,663.82,1327.64
18,774,20,2025-03-13 01:15:59,2025-03-13 02:56:59,94.66,189.32
19,999,42,2024-07-23 00:41:49,2024-07-23 02:21:49,580.92,1161.84
20,982,5,2024-09-05 22:13:49,2024-09-05 22:54:49,564.93,2824.65
21,919,34,2024-09-19 09:40:31,2024-09-19 11:06:31,838.3,0.0
22,970,21,2024-05-03 16:30:30,2024-05-03 16:40:30,95.24,95.24
23,9,41,2024-11-26 03:46:30,2024-11-26 04:26:30,329.63,0.0
24,930,31,2025-03-10 08:59:06,2025-03-10 10:07:06,611.86,1223.72
25,6,3,2024-11-11 09:05:27,2024-11-11 09:24:27,449.06,673.59
26,703,21,2025-03-07 17:49:15,2025-03-07 19:13:15,348.38,0.0
27,510,20,2025-04-02 16:36:40,2025-04-02 18:04:40,694.9,694.9
28,907,12,2024-05-19 17:36:00,2024-05-19 19:35:00,944.03,0.0
29,272,12,2024-04-16 13:33:57,2024-04-16 14:38:57,405.48,608.22
30,748,1,2024-08-14 08:47:12,2024-08-14 08:55:12,165.14,0.0
31,398,22,2024-05-23 22:36:44,2024-05-24 00:21:44,795.5,1193.25
32,676,6,2024-06-15 16:55:44,2024-06-15 18:30:44,521.76,0.0
33,615,45,2024-11-13 10:58:27,2024-11-13 11:06:27,806.68,0.0
34,403,22,2024-11-16 06:48:22,2024-11-16 08:21:22,502.06,0.0
35,133,39,2025-01-29 14:40:13,2025-01-29 16:03:13,864.52,864.52
36,146,50,2025-01-30 21:53:20,2025-01-30 23:22:20,205.14,1025.7
37,902,37,2024-09-15 13:22:01,2024-09-15 13:43:01,582.62,2913.1
38,829,47,2024-11-26 12:22:06,2024-11-26 14:05:06,93.55,0.0
39,966,3,2025-01-17 04:17:52,2025-01-17 04:31:52,505.51,0.0
40,790,34,2024-12-21 18:08:30,2024-12-21 18:26:30,662.37,0.0
41,480,22,2025-02-02 12:32:52,2025-02-02 14:00:52,129.72,129.72
