transactio_id,player_id,transaction_time,transaction_type,transaction_amount,payment_method,amount
1,560,2024-05-17 14:41:42,"""deposit""",373.96,crypto,
2,325,2024-04-28 19:24:08,"""withdrawal""",869.97,crypto,
3,467,2024-12-07 05:42:36,"""withdrawal""",468.41,crypto,
4,719,2024-09-11 19:44:11,"""deposit""",577.8,credit_card,
5,702,2025-03-16 03:40:11,"""deposit""",615.54,credit_card,
6,260,2024-05-26 22:50:17,"""deposit""",412.25,credit_card,
7,921,2024-08-17 08:05:28,"""bonus""",790.72,bank_transfer,
8,838,2024-08-26 06:48:29,"""deposit""",48.9,crypto,
9,931,2025-01-29 22:09:58,"""deposit""",130.83,paypal,
10,592,2024-05-04 06:29:17,"""bonus""",992.65,paypal,
11,967,2024-10-13 03:39:27,"""deposit""",967.36,bank_transfer,
12,427,2025-03-15 16:40:49,"""withdrawal""",523.45,paypal,
13,705,2024-08-20 00:34:22,"""bonus""",251.94,bank_transfer,
14,107,2024-06-26 12:15:01,"""withdrawal""",629.17,bank_transfer,
15,286,2024-11-06 06:01:35,"""withdrawal""",493.17,bank_transfer,
16,8,2024-10-23 13:36:31,"""deposit""",560.65,bank_transfer,
17,850,2024-07-14 05:31:04,"""withdrawal""",62.02,crypto,
18,667,2024-09-12 14:39:19,"""withdrawal""",973.4,bank_transfer,
19,154,2024-08-12 11:05:01,"""withdrawal""",435.32,credit_card,
20,306,2025-04-05 15:05:32,"""deposit""",729.81,crypto,
21,873,2024-08-24 16:43:57,"""deposit""",734.88,crypto,
22,961,2025-01-22 05:17:31,"""withdrawal""",425.67,bank_transfer,
23,676,2024-11-25 19:03:14,"""bonus""",672.57,paypal,
24,962,2025-02-19 00:32:57,"""withdrawal""",322.63,bank_transfer,
25,823,2024-10-02 17:44:39,"""deposit""",593.54,paypal,
26,206,2025-01-16 07:04:20,"""bonus""",55.29,credit_card,
27,473,2024-06-15 08:20:43,"""withdrawal""",903.96,paypal,
28,222,2024-06-18 22:38:32,"""withdrawal""",420.83,crypto,
29,113,2024-10-14 15:37:52,"""deposit""",494.8,crypto,
30,615,2024-09-30 08:36:35,"""deposit""",823.41,credit_card,
31,554,2024-09-19 09:12:59,"""bonus""",105.32,credit_card,
32,977,2024-07-15 16:41:53,"""deposit""",412.92,crypto,
33,151,2025-01-31 18:08:45,"""refund""",456.28,bank_transfer,
34,931,2025-01-10 02:07:22,"""bonus""",486.19,bank_transfer,
35,1,2025-02-22 02:30:15,"""refund""",322.53,bank_transfer,
36,932,2024-08-11 12:23:35,"""deposit""",470.86,credit_card,
37,47,2024-06-04 08:59:42,"""withdrawal""",9.04,credit_card,
38,697,2024-05-15 02:13:53,"""deposit""",434.97,paypal,
39,109,2024-12-31 12:46:40,"""deposit""",410.77,bank_transfer,
40,524,2025-01-14 22:18:54,"""deposit""",448.19,bank_transfer,
